Niter, simple time, simple error, chebyshev time, chebyshev error, jakobi time, jakobi error, gs time, gs error, conjgrad time, conjgrad error
176,196,2.09697e-08,226,5.82438e+18,115,0,53,0,26,0
177,197,1.87918e-08,227,5.80719e+17,115,0,52,0,26,0
178,198,1.68401e-08,228,9.75197e+17,115,0,53,0,26,0
179,203,1.5091e-08,239,2.05584e+18,115,0,53,0,26,0
180,201,1.35237e-08,231,6.6744e+18,115,0,53,0,26,0
181,202,1.21191e-08,232,2.00566e+18,115,0,53,0,26,0
182,208,1.08604e-08,233,9.93753e+18,116,0,52,0,26,0
183,205,9.73242e-09,235,4.79016e+18,116,0,53,0,26,0
184,206,8.72161e-09,236,2.65986e+19,116,0,53,0,26,0
185,207,7.81577e-09,237,2.5515e+18,116,0,53,0,26,0
186,207,7.00402e-09,239,5.89839e+18,116,0,52,0,26,0
187,209,6.27658e-09,239,5.64526e+18,115,0,53,0,26,0
188,211,5.62469e-09,240,1.59799e+19,115,0,52,0,26,0
189,217,5.0405e-09,261,2.25079e+18,126,0,53,0,26,0
190,396,4.51699e-09,245,7.71585e+18,115,0,53,0,28,0
191,214,4.04785e-09,243,3.61848e+18,116,0,53,0,26,0
192,214,3.62744e-09,248,1.21769e+19,115,0,53,0,26,0
193,217,3.25069e-09,245,6.15781e+17,114,0,53,0,26,0
194,220,2.91307e-09,263,8.3106e+17,115,0,53,0,26,0
195,219,2.61052e-09,251,8.80325e+17,114,0,53,0,26,0
196,219,2.33939e-09,314,9.90004e+17,164,0,75,0,37,0
197,317,2.09642e-09,362,1.76954e+17,123,0,57,0,26,0
198,223,1.87868e-09,268,5.8924e+17,139,0,53,0,27,0
199,225,1.68356e-09,265,1.10252e+17,118,0,53,0,27,0
200,230,1.50871e-09,258,3.27396e+17,114,0,53,0,26,0
201,224,1.35201e-09,256,1.99741e+16,114,0,53,0,26,0
202,230,1.21159e-09,257,4.59787e+16,114,0,53,0,26,0
203,225,1.08575e-09,269,1.6625e+16,115,0,53,0,26,0
204,226,9.72985e-10,259,2.33217e+16,326,0,80,0,30,0
205,230,8.7193e-10,265,1.39922e+15,116,0,52,0,27,0
206,234,7.81371e-10,266,3.23103e+15,116,0,52,0,27,0
207,236,7.00217e-10,267,8.60389e+14,116,0,74,0,27,0
208,233,6.27492e-10,265,1.10061e+15,115,0,53,0,26,0
209,234,5.6232e-10,266,3.57021e+13,116,0,53,0,26,0
210,237,5.03917e-10,267,5.59786e+13,115,0,53,0,26,0
211,238,4.5158e-10,268,2.09018e+13,115,0,52,0,33,0
212,245,4.04679e-10,293,1.38405e+13,120,0,53,0,30,0
213,237,3.62648e-10,269,9.5755e+11,115,0,52,0,26,0
214,238,3.24983e-10,270,1.8528e+12,115,0,53,0,26,0
215,239,2.9123e-10,272,2.37694e+11,118,0,53,0,25,0
216,241,2.60983e-10,273,2.88376e+11,114,0,53,0,26,0
217,260,2.33877e-10,273,7.87345e+09,115,0,53,0,26,0
218,244,2.09586e-10,274,1.20975e+10,115,0,53,0,26,0
219,273,1.87819e-10,382,2.85302e+09,119,0,54,0,35,0
220,244,1.68312e-10,291,1.47081e+09,121,0,56,0,31,0
221,254,1.50831e-10,364,6.71775e+07,118,0,53,0,26,0
222,256,1.35165e-10,286,1.01052e+08,152,0,64,0,35,0
223,259,1.21127e-10,317,1.08222e+07,125,0,63,0,29,0
224,259,1.08547e-10,293,8.32079e+06,115,0,54,0,34,0
225,260,9.72729e-11,347,153901,147,0,72,0,36,0
226,335,8.717e-11,343,180009,158,0,53,0,27,0
227,331,7.81165e-11,363,41876.1,132,0,53,0,27,0
228,254,7.00033e-11,287,11853.1,114,0,53,0,26,0
229,255,6.27327e-11,311,586.997,115,0,53,0,26,0
230,255,5.62172e-11,287,562.036,115,0,52,0,26,0
231,256,5.03784e-11,287,34.0067,114,0,53,0,26,0
232,358,4.5146e-11,415,24.639,165,0,76,0,38,0
233,360,4.04571e-11,428,0.506503,172,0,77,0,42,0
234,382,3.62553e-11,418,0.589875,157,0,85,0,36,0
235,357,3.24898e-11,429,0.0656766,170,0,76,0,38,0
236,396,2.91153e-11,424,0.0215765,164,0,75,0,37,0
237,386,2.60914e-11,428,0.00051423,167,0,76,0,38,0
238,388,2.33815e-11,442,0.000499059,169,0,77,0,38,0
239,411,2.09531e-11,449,3.87796e-05,172,0,77,0,39,0
240,387,1.87769e-11,442,1.39365e-05,171,0,77,0,39,0
241,407,1.68267e-11,446,1.89084e-07,161,0,109,0,37,0
242,423,1.5079e-11,445,1.89798e-07,172,0,77,0,39,0
243,405,1.35129e-11,451,2.38132e-08,171,0,76,0,39,0
244,400,1.21094e-11,431,4.45222e-09,166,0,74,0,54,0
245,413,1.08516e-11,452,1.30362e-10,172,0,76,0,37,0
246,395,9.72455e-12,437,7.9796e-11,165,0,74,0,37,0
247,396,8.71452e-12,443,3.61108e-12,168,0,75,0,38,0
248,405,7.8094e-12,449,1.41127e-12,166,0,75,0,37,0
249,402,6.99832e-12,446,1.95429e-14,166,0,75,0,37,0
250,399,6.27146e-12,453,1.68448e-14,178,0,75,0,35,0
251,378,5.62011e-12,315,1.41557e-15,115,0,53,0,26,0
252,282,5.03642e-12,312,5.5193e-16,115,0,53,0,26,0
253,280,4.5133e-12,313,5.93439e-17,115,0,53,0,26,0
254,282,4.04453e-12,353,1.6785e-16,115,0,53,0,26,0
255,284,3.62449e-12,316,1.18688e-16,115,0,53,0,26,0
256,284,3.24809e-12,282,0,114,0,52,0,26,0
257,285,2.91074e-12,297,0,115,0,53,0,26,0
258,287,2.60843e-12,308,0,123,0,52,0,26,0
259,292,2.33755e-12,338,0,114,0,52,0,26,0
260,290,2.09478e-12,337,0,115,0,53,0,26,0
261,290,1.8772e-12,350,2.71948e-16,114,0,53,0,26,0
262,293,1.68225e-12,355,8.25851e-15,137,0,53,0,26,0
263,292,1.50757e-12,348,7.92333e-14,132,0,72,0,37,0
264,345,1.35099e-12,356,8.69242e-13,114,0,53,0,27,0
265,294,1.21064e-12,357,1.819e-12,114,0,53,0,27,0
266,297,1.08487e-12,376,5.60245e-12,115,0,53,0,26,0
267,298,9.72204e-13,356,1.40458e-10,115,0,53,0,26,0
268,302,8.71234e-13,357,5.05369e-09,115,0,53,0,26,0
269,301,7.80762e-13,363,1.03269e-08,115,0,53,0,26,0
270,300,6.99698e-13,372,3.59507e-08,115,0,52,0,26,0
271,302,6.27005e-13,364,7.48516e-07,115,0,53,0,25,0
272,358,5.61857e-13,361,2.54171e-05,119,0,53,0,26,0
273,302,5.03499e-13,362,2.31722e-05,115,0,53,0,26,0
274,321,4.51217e-13,363,4.15511e-05,115,0,52,0,26,0
275,309,4.04365e-13,364,0.00135753,123,0,71,0,36,0
276,394,3.62356e-13,370,0.0651857,115,0,53,0,26,0
277,311,3.24716e-13,383,0.197978,114,0,53,0,26,0
278,309,2.91003e-13,369,1.28947,116,0,52,0,26,0
279,309,2.60796e-13,367,11.1485,114,0,53,0,26,0
280,313,2.33709e-13,369,209.973,115,0,53,0,26,0
281,311,2.0943e-13,387,158.906,115,0,53,0,26,0
282,314,1.87684e-13,370,319.15,115,0,53,0,26,0
283,311,1.68176e-13,371,7140.99,115,0,55,0,28,0
284,315,1.50706e-13,373,277269,115,0,53,0,26,0
285,324,1.35087e-13,374,597517,114,0,53,0,26,0
286,344,1.21086e-13,379,3.59821e+06,116,0,58,0,36,0
287,322,1.08537e-13,544,2.39674e+07,152,0,53,0,26,0
288,319,9.72817e-14,395,4.42064e+08,115,0,53,0,27,0
289,326,8.71664e-14,419,2.02495e+08,132,0,53,0,26,0
290,331,7.80869e-14,382,2.90858e+08,115,0,53,0,26,0
291,326,6.99762e-14,384,6.25421e+09,115,0,53,0,26,0
292,339,6.27073e-14,387,1.77928e+11,116,0,53,0,26,0
293,327,5.61935e-14,385,4.07254e+11,115,0,53,0,26,0
294,327,5.03566e-14,385,3.23652e+12,115,0,53,0,26,0
295,325,4.50891e-14,393,1.14753e+13,115,0,53,0,26,0
296,329,4.03948e-14,386,1.452e+14,116,0,53,0,26,0
297,329,3.62108e-14,387,8.86002e+13,115,0,53,0,26,0
298,331,3.24641e-14,388,2.40852e+14,136,0,78,0,31,0
299,360,2.91245e-14,416,2.15677e+15,114,0,53,0,26,0
300,336,2.61339e-14,394,5.30226e+16,115,0,56,0,26,0
301,337,2.3435e-14,395,4.91253e+16,114,0,53,0,26,0
302,338,2.10286e-14,396,2.13242e+17,127,0,53,0,25,0
303,336,1.88817e-14,406,1.02007e+18,115,0,53,0,27,0
304,339,1.69011e-14,398,1.9203e+19,115,0,53,0,26,0
305,342,1.51203e-14,400,5.7598e+18,116,0,53,0,26,0
306,369,1.35438e-14,402,9.12902e+18,116,0,53,0,26,0
307,347,1.21683e-14,405,1.00192e+20,156,0,66,0,26,0
308,342,1.0922e-14,402,1.65787e+21,115,0,53,0,26,0
309,345,9.76467e-15,419,2.10782e+21,115,0,55,0,35,0
310,422,8.773e-15,408,1.46761e+22,115,0,53,0,26,0
311,349,7.87524e-15,416,3.15891e+22,115,0,53,0,26,0
312,352,7.01028e-15,408,3.66897e+23,114,0,53,0,26,0
313,362,6.22167e-15,408,1.33839e+23,114,0,53,0,26,0
314,364,5.5456e-15,519,3.41726e+23,163,0,60,0,27,0
315,455,4.95535e-15,425,1.79419e+24,115,0,53,0,27,0
316,387,4.43876e-15,410,2.87157e+25,115,0,53,0,26,0
317,353,3.98406e-15,411,1.73606e+25,115,0,53,0,26,0
318,357,3.57944e-15,410,7.5284e+25,115,0,53,0,26,0
319,353,3.19611e-15,420,1.99567e+26,115,0,53,0,26,0
320,363,2.84766e-15,523,2.8297e+27,115,0,53,0,27,0
321,362,2.57078e-15,420,5.30289e+26,115,0,53,0,26,0
322,359,2.33119e-15,433,7.22469e+26,115,0,57,0,26,0
323,361,2.11411e-15,420,5.26737e+27,115,0,53,0,26,0
324,362,1.93403e-15,421,4.38905e+28,115,0,53,0,26,0
325,365,1.73486e-15,422,4.15266e+28,115,0,53,0,26,0
326,372,1.52991e-15,423,3.12529e+29,115,0,53,0,26,0
327,364,1.38365e-15,424,3.45807e+29,115,0,53,0,26,0
328,364,1.25905e-15,426,3.04861e+30,114,0,53,0,26,0
329,364,1.14862e-15,431,8.85145e+29,115,0,53,0,26,0
330,367,1.01429e-15,425,2.62598e+30,115,0,53,0,149,0
331,407,8.49935e-16,432,6.93662e+30,115,0,53,0,26,0
332,369,7.23473e-16,438,7.56541e+31,114,0,53,0,26,0
333,369,6.5849e-16,431,2.46837e+31,114,0,53,0,26,0
334,372,6.33967e-16,431,8.7626e+31,114,0,53,0,26,0
335,373,6.14217e-16,432,1.68526e+32,122,0,53,0,26,0
336,373,5.39426e-16,432,1.74545e+33,115,0,53,0,26,0
337,374,4.67745e-16,433,2.62432e+32,114,0,53,0,26,0
338,373,4.30499e-16,436,4.82222e+32,117,0,53,0,26,0
339,382,3.94202e-16,437,1.58642e+33,118,0,53,0,26,0
340,377,3.59141e-16,449,1.00481e+34,129,0,53,0,26,0
341,486,3.25716e-16,458,4.5307e+33,116,0,54,0,27,0
