Niter, r1x, r1y, r2x, r2y, r3x, r3y, r4x, r4y, r5x, r5y
58,0.235294,0.156858,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
59,0.235294,0.156867,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
60,0.235294,0.156859,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
61,0.235294,0.156866,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
62,0.235294,0.15686,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
63,0.235294,0.156865,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
64,0.235294,0.156861,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
65,0.235294,0.156864,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
66,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
67,0.235294,0.156864,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
68,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
69,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
70,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
71,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
72,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
73,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
74,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
75,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
76,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
77,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
78,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
79,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
80,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
81,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
82,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
83,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
84,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
85,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
86,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
87,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
88,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
89,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
90,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
91,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
92,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
93,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
94,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
95,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
96,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
97,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
98,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
99,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
